"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"GEL","Genesis Energy, L.P.","24.96","3059577281.28","n/a","1996","Energy","Oil Refining/Marketing","https://www.nasdaq.com/symbol/gel",
"GEN           ","Genesis Healthcare, Inc.","1.55","250380344.3","n/a","n/a","Health Care","Hospital/Nursing Management","https://www.nasdaq.com/symbol/gen",
"GNE","Genie Energy Ltd.","5.82","153943143.84","n/a","2011","Public Utilities","Power Generation","https://www.nasdaq.com/symbol/gne",
"GNE^A","Genie Energy Ltd.","7.67","0","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/gne^a",
"G","Genpact Limited","29.52","5607300265.92","n/a","2007","Consumer Services","Professional Services","https://www.nasdaq.com/symbol/g",
"GPC","Genuine Parts Company","98.08","14393507954.56","n/a","n/a","Capital Goods","Automotive Aftermarket","https://www.nasdaq.com/symbol/gpc",
"GNW","Genworth Financial Inc","4.23","2117875334.04","n/a","2004","Finance","Life Insurance","https://www.nasdaq.com/symbol/gnw",
"GEO","Geo Group Inc (The)","24.69","3006763137.45","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/geo",
"GPRK","Geopark Ltd","19.29","1169274133.11","n/a","2014","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/gprk",
"GPJA","Georgia Power Company","22.42","0","n/a","2017","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/gpja",
"GGB","Gerdau S.A.","4.3","7318146122.1","n/a","n/a","Capital Goods","Steel/Iron Ore","https://www.nasdaq.com/symbol/ggb",
"GTY","Getty Realty Corporation","28.7","1159206718.6","n/a","n/a","Finance","Real Estate","https://www.nasdaq.com/symbol/gty",
"GIG","GigCapital, Inc.","10","40932450","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/gig",
"GIG.U","GigCapital, Inc.","n/a","0","n/a","2017","n/a","n/a","https://www.nasdaq.com/symbol/gig.u",
"GIG.WS","GigCapital, Inc.","n/a","0","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/gig.ws",
"GIG~","GigCapital, Inc.","0.4539","0","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/gig~",
"GIL","Gildan Activewear, Inc.","29.34","6096573240.66","n/a","1998","Consumer Non-Durables","Apparel","https://www.nasdaq.com/symbol/gil",
"GLT","Glatfelter","18.66","816918229.92","n/a","n/a","Basic Industries","Paper","https://www.nasdaq.com/symbol/glt",
"GKOS","Glaukos Corporation","60.4","2129402604","n/a","2015","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/gkos",
"GSK","GlaxoSmithKline PLC","39.47","97895064787.59","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/gsk",
"BRSS","Global Brass and Copper Holdings, Inc.","35.49","786950894.73","n/a","2013","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/brss",
"CO","Global Cord Blood Corporation","6.55","791402060.1","n/a","n/a","Finance","Business Services","https://www.nasdaq.com/symbol/co",
"GMRE","Global Medical REIT Inc.","9.23","199651130.25","n/a","2016","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/gmre",
"GMRE^A","Global Medical REIT Inc.","25.65","0","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/gmre^a",
"GNL","Global Net Lease, Inc.","20.13","1447480159.95","n/a","2015","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/gnl",
